1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 52136, 383, 0, 0, 0, 0, 0, 0, 1370, 10108, 31, 0, 0, 0, 0, 0, 0, 120, 1804, 1, 0, 0, 0, 0, 0, 0, 18, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 423, 232, 0, 0, 0, 0, 0, 0, 8, 37212, 4838, 0, 0, 0, 0, 0, 0, 2863, 215969, 729, 0, 0, 0, 0, 0, 0, 1942, 16870, 40, 0, 0, 0, 0, 0, 0, 282, 1611, 12, 0, 0, 0, 0, 0, 0, 80, 978, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 851, 259, 0, 0, 0, 0, 0, 0, 28, 86913, 626, 0, 0, 0, 0, 0, 0, 2050, 17020, 143, 0, 0, 0, 0, 0, 0, 506, 9356, 42, 0, 0, 0, 0, 0, 0, 416, 1852, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 11, 0, 0, 0, 0, 0, 0, 0, 1243, 497, 0, 0, 0, 0, 0, 0, 11, 21401, 1038, 1, 0, 0, 0, 0, 0, 993, 41468, 1515, 0, 0, 0, 0, 0, 0, 3650, 34976, 54, 0, 0, 0, 0, 0, 0, 893, 2446, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 143, 86, 0, 0, 0, 0, 0, 0, 6, 2840, 981, 0, 0, 0, 0, 0, 0, 87, 170360, 3625, 0, 0, 0, 0, 0, 0, 9439, 99514, 568, 0, 0, 0, 0, 0, 0, 3259, 13573, 36, 0, 0, 0, 0, 0, 0, 487, 3021, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2277, 1432, 0, 0, 0, 0, 0, 0, 140, 165484, 1017, 0, 0, 0, 0, 0, 0, 2908, 25957, 82, 0, 0, 0, 0, 0, 0, 536, 2200, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 1582, 228, 0, 0, 0, 0, 0, 0, 33, 114988, 13663, 0, 0, 0, 0, 0, 0, 9654, 365108, 176, 0, 0, 0, 0, 0, 0, 1024, 6217, 14, 0, 0, 0, 0, 0, 0, 209, 1187, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 890, 68, 0, 0, 0, 0, 0, 0, 47, 4061, 568, 0, 0, 0, 0, 0, 0, 165, 330172, 8838, 0, 0, 0, 0, 0, 0, 17384, 219089, 522, 0, 0, 0, 0, 0, 0, 4493, 12430, 13, 0, 0, 0, 0, 0, 0, 342, 1543, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 0, 0, 0, 0, 0, 0, 0, 5225, 885, 0, 0, 0, 0, 0, 0, 226, 35130, 404, 0, 0, 0, 0, 0, 0, 1632, 15744, 10, 0, 0, 0, 0, 0, 0, 530, 712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 95, 0, 0, 0, 0, 0, 0, 10, 69289, 5417, 1, 0, 0, 0, 0, 0, 3965, 234631, 7923, 0, 0, 0, 0, 0, 0, 17200, 192917, 341, 0, 0, 0, 0, 0, 0, 3487, 15007, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 251, 0, 0, 0, 0, 0, 0, 5, 118831, 1097, 0, 0, 0, 0, 0, 0, 3082, 35564, 112, 0, 0, 0, 0, 0, 0, 400, 4850, 41, 0, 0, 0, 0, 0, 0, 177, 5960, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 354, 341, 0, 0, 0, 0, 0, 0, 7, 29093, 1367, 0, 0, 0, 0, 0, 0, 1302, 63664, 3503, 0, 0, 0, 0, 0, 0, 6550, 60807, 0, 0, 0, 0, 0, 0, 0, 289, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 29, 0, 0, 0, 0, 0, 0, 2, 8180, 776, 0, 0, 0, 0, 0, 0, 443, 33994, 3, 0, 0, 0, 0, 0, 0, 86, 495, 0, 0, 0, 0, 0, 0, 0, 21, 489, 15, 0, 0, 0, 0, 0, 0, 33, 367, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 127, 0, 0, 0, 0, 0, 0, 7, 15955, 1350, 0, 0, 0, 0, 0, 0, 397, 28546, 1463, 0, 0, 0, 0, 0, 0, 1959, 136135, 998, 0, 0, 0, 0, 0, 0, 8691, 28909, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 427, 185, 0, 0, 0, 0, 0, 0, 8, 7878, 475, 0, 0, 0, 0, 0, 0, 247, 13920, 1044, 0, 0, 0, 0, 0, 0, 1411, 59187, 151, 0, 0, 0, 0, 0, 0, 1920, 4349, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 72, 0, 0, 0, 0, 0, 0, 2, 14501, 1122, 0, 0, 0, 0, 0, 0, 512, 22352, 1115, 0, 0, 0, 0, 0, 0, 2254, 83742, 71, 0, 0, 0, 0, 0, 0, 1559, 2971, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 81, 0, 0, 0, 0, 0, 0, 7, 7362, 544, 0, 0, 0, 0, 0, 0, 466, 43756, 206, 0, 0, 0, 0, 0, 0, 858, 6580, 34, 0, 0, 0, 0, 0, 0, 212, 1002, 0, 0, 0, 0, 0, 0, 0, 29, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 418, 104, 0, 0, 0, 0, 0, 0, 16, 77765, 1525, 0, 0, 0, 0, 0, 0, 3890, 39257, 249, 0, 0, 0, 0, 0, 0, 1366, 6767, 44, 0, 0, 0, 0, 0, 0, 289, 4102, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 912, 367, 0, 0, 0, 0, 0, 0, 34, 179665, 4157, 0, 0, 0, 0, 0, 0, 8521, 176244, 264, 0, 0, 0, 0, 0, 0, 3453, 7051, 3, 0, 0, 0, 0, 0, 0, 204, 1049, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 278, 175, 0, 0, 0, 0, 0, 0, 9, 15366, 1151, 0, 0, 0, 0, 0, 0, 634, 29900, 2023, 0, 0, 0, 0, 0, 0, 2897, 52030, 134, 0, 0, 0, 0, 0, 0, 2474, 4151, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 10714, 1237, 0, 0, 0, 0, 0, 0, 803, 45169, 47, 0, 0, 0, 0, 0, 0, 144, 1532, 24, 0, 0, 0, 0, 0, 0, 36, 680, 8, 0, 0, 0, 0, 0, 0, 34, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5499, 740, 0, 0, 0, 0, 0, 0, 401, 44124, 48, 0, 0, 0, 0, 0, 0, 209, 654, 2, 0, 0, 0, 0, 0, 0, 23, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 32, 0, 0, 0, 0, 0, 0, 0, 19059, 943, 0, 0, 0, 0, 0, 0, 475, 34878, 1187, 0, 0, 0, 0, 0, 0, 2508, 96843, 225, 0, 0, 0, 0, 0, 0, 2661, 7988, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8859, 877, 0, 0, 0, 0, 0, 0, 435, 21838, 949, 0, 0, 0, 0, 0, 0, 1540, 49145, 240, 0, 0, 0, 0, 0, 0, 2034, 5891, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 16602, 5305, 0, 0, 0, 0, 0, 0, 1758, 405212, 5090, 0, 0, 0, 0, 0, 0, 13793, 161501, 10, 0, 0, 0, 0, 0, 0, 194, 490, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17, 0, 0, 0, 0, 0, 0, 1, 1318, 435, 0, 0, 0, 0, 0, 0, 70, 22219, 474, 0, 0, 0, 0, 0, 0, 901, 28381, 308, 0, 0, 0, 0, 0, 0, 1494, 8327, 0, 0, 0, 0, 0, 0, 0, 40, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 67, 0, 0, 0, 0, 0, 0, 0, 23998, 1279, 0, 0, 0, 0, 0, 0, 1170, 78235, 2110, 0, 0, 0, 0, 0, 0, 5876, 52680, 28, 0, 0, 0, 0, 0, 0, 428, 1350, 0, 0, 0, 0, 0, 0, 0, 0, 0, stroma
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 11, 0, 0, 0, 0, 0, 0, 0, 32276, 1401, 0, 0, 0, 0, 0, 0, 2114, 26542, 139, 0, 0, 0, 0, 0, 0, 955, 3841, 2, 0, 0, 0, 0, 0, 0, 94, 967, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7261, 1222, 0, 0, 0, 0, 0, 0, 481, 41167, 10, 0, 0, 0, 0, 0, 0, 230, 421, 0, 0, 0, 0, 0, 0, 0, 10, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
